,0,1,階,賃料/管理費,敷金/礼金,間取り/専有面積,6,お気に入り,8,NewArrival,マンション名,住所,最寄り駅,築年数,建物高さ
37,"
 
","




","
											6階","

9.9万円
15000円

","

9.9万円
9.9万円

","

1K
25.54m2

","


","



追加

追加

","
詳細を見る",Exsiting,La Perla岩本町,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩8分 --- ＪＲ中央線/神田駅 歩10分 --- 東京メトロ日比谷線/小伝馬町駅 歩4分,新築,9階建
38,"
 
","




","
											3階","

9.5万円
7000円

","

9.5万円
9.5万円

","

ワンルーム
24.25m2

","


","



追加

追加

","
詳細を見る",New,シトラスファイブ,東京都千代田区神田和泉町,東京メトロ日比谷線/秋葉原駅 歩4分 --- 都営新宿線/岩本町駅 歩5分 --- ＪＲ総武線/浅草橋駅 歩9分,築8年,10階建
39,"
 
","




","
											8階","

11万円
5000円

","

11万円
11万円

","

ワンルーム
24.55m2

","

パノラマ

","



追加

追加

","
詳細を見る",Exsiting,ヒロコートアキハバラ,東京都千代田区神田佐久間町３,ＪＲ山手線/秋葉原駅 歩3分 --- ＪＲ中央線/御茶ノ水駅 歩15分 --- 都営新宿線/岩本町駅 歩9分,築15年,9階建
40,"
 
","




","
											2階","

8.8万円
5000円

","

-
8.8万円

","

1K
17.52m2

","


","



追加

追加

","
詳細を見る",New,都営新宿線 岩本町駅 4階建 新築,東京都千代田区神田佐久間町３,都営新宿線/岩本町駅 歩8分 --- ＪＲ山手線/秋葉原駅 歩5分 --- ＪＲ総武線/浅草橋駅 歩5分,新築,4階建
41,"
 
","




","
											3階","

9万円
5000円

","

-
9万円

","

1K
17.52m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,都営新宿線 岩本町駅 4階建 新築,東京都千代田区神田佐久間町３,都営新宿線/岩本町駅 歩8分 --- ＪＲ山手線/秋葉原駅 歩5分 --- ＪＲ総武線/浅草橋駅 歩5分,新築,4階建
42,"
 
","




","
											4階","

9万円
5000円

","

-
9万円

","

1K
17.52m2

","


","



追加

追加

","
詳細を見る",Exsiting,都営新宿線 岩本町駅 4階建 新築,東京都千代田区神田佐久間町３,都営新宿線/岩本町駅 歩8分 --- ＪＲ山手線/秋葉原駅 歩5分 --- ＪＲ総武線/浅草橋駅 歩5分,新築,4階建
43,"
 
","




","
											10階","

10.8万円
10000円

","

-
-

","

1K
25.25m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,東京メトロ半蔵門線 半蔵門駅 12階建 築9年,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分 --- 東京メトロ有楽町線/麹町駅 歩6分 --- 東京メトロ丸ノ内線/四ツ谷駅 歩13分,築9年,12階建
44,"
 
","




","
											10階","

10.9万円
10000円

","

-
-

","

1K
25.25m2

","


","



追加

追加

","
詳細を見る",Exsiting,東京メトロ半蔵門線 半蔵門駅 12階建 築9年,東京都千代田区一番町,東京メトロ半蔵門線/半蔵門駅 歩2分 --- 東京メトロ有楽町線/麹町駅 歩6分 --- 東京メトロ丸ノ内線/四ツ谷駅 歩13分,築9年,12階建
45,"
 
","




","
											3階","

11万円
8000円

","

11万円
11万円

","

1K
25.16m2

","

動画
パノラマ

","



追加

追加

","
詳細を見る",Exsiting,アイルイムーブル御茶ノ水,東京都千代田区神田神保町１,都営三田線/神保町駅 歩3分 --- 東京メトロ千代田線/新御茶ノ水駅 歩8分 --- ＪＲ中央線/御茶ノ水駅 歩9分,築7年,12階建
46,"
 
","




","
											6階","

11.2万円
8000円

","

11.2万円
11.2万円

","

1K
25.28m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,アイルイムーブル御茶ノ水,東京都千代田区神田神保町１,都営三田線/神保町駅 歩3分 --- 東京メトロ千代田線/新御茶ノ水駅 歩8分 --- ＪＲ中央線/御茶ノ水駅 歩9分,築7年,12階建
47,"
 
","




","
											2階","

11.2万円
8000円

","

11.2万円
11.2万円

","

1K
25.2m2

","


","



追加

追加

","
詳細を見る",New,アイルイムーブル御茶ノ水,東京都千代田区神田神保町１,都営三田線/神保町駅 歩3分 --- 東京メトロ千代田線/新御茶ノ水駅 歩8分 --- ＪＲ中央線/御茶ノ水駅 歩9分,築7年,12階建
48,"
 
","




","
											3階","

11.2万円
8000円

","

11.2万円
11.2万円

","

1K
25.16m2

","


","



追加

追加

","
詳細を見る",Exsiting,アイルイムーブル御茶ノ水,東京都千代田区神田神保町１,都営三田線/神保町駅 歩3分 --- 東京メトロ千代田線/新御茶ノ水駅 歩8分 --- ＪＲ中央線/御茶ノ水駅 歩9分,築7年,12階建
49,"
 
","




","
											2階","

10.4万円
5000円

","

-
-

","

1K
24m2

","

パノラマ

","



追加

追加

","
詳細を見る",Exsiting,ＪＲ山手線 秋葉原駅 12階建 築14年,東京都千代田区東神田２,ＪＲ山手線/秋葉原駅 歩8分 --- ＪＲ総武線/浅草橋駅 歩4分 --- ＪＲ総武線快速/馬喰町駅 歩5分,築14年,12階建
50,"
 
","




","
											2階","

10.4万円
5000円

","

-
-

","

1K
24m2

","


","



追加

追加

","
詳細を見る",New,クローバーステイ秋葉原,東京都千代田区東神田２,ＪＲ総武線/浅草橋駅 歩4分 --- ＪＲ山手線/秋葉原駅 歩8分 --- ＪＲ総武線快速/馬喰町駅 歩5分,築14年,12階建
51,"
 
","




","
											4階","

10.2万円
10000円

","

10.2万円
10.2万円

","

1K
29.9m2

","

動画

","



追加

追加

","
詳細を見る",Exsiting,都営新宿線 岩本町駅 13階建 築15年,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分 --- ＪＲ山手線/秋葉原駅 歩8分 --- 東京メトロ日比谷線/小伝馬町駅 歩6分,築15年,13階建
